#{"t_start": 1775223357.6713285, "env_id": "None"}
r,l,t
1975.5225,211,379.156225
1936.1445,208,379.446213
1824.0391,192,379.515741
2005.9965,214,379.592741
1849.8816,193,379.772734
1820.6611,192,379.809986
1855.8718,196,380.327945
1609.5841,174,380.436486
1863.5449,197,380.528101
2107.5574,223,381.198474
1598.9424,167,381.665667
1996.8442,209,382.795167
1954.4227,210,383.130608
1844.0342,194,383.22686
1944.2306,207,383.406672
1892.2,197,383.541226
1878.3019,201,383.655305
1606.3232,173,383.766854
2031.0035,219,383.785848
1851.8143,196,384.074559
1899.9352,200,384.372129
1607.9622,168,384.895952
2110.0447,223,385.431705
2000.0961,210,386.670383
1859.1486,197,386.838931
1598.2584,174,386.927465
1980.451,213,387.033015
1878.9277,196,387.100788
1855.4385,198,387.247529
1975.397,214,387.300065
1965.7032,213,387.647418
1863.9738,199,387.686958
1903.137,201,388.005569
1651.6036,175,388.049366
2214.9314,239,389.780493
1638.9849,180,390.218617
1867.9912,202,390.503287
2120.1501,226,390.783715
1929.2963,203,390.801729
1881.7976,204,390.954464
2065.888,225,391.110654
1637.9447,174,391.179193
2003.1504,217,391.230187
1845.8911,197,391.250201
2066.181,225,391.759137
1961.8197,208,391.799139
1592.5382,176,393.972988
2180.1938,232,394.762393
1898.0079,202,395.063115
1651.1594,173,395.262135
1899.7976,198,395.336098
1880.3462,200,395.612525
1813.674,191,395.834551
2103.0552,223,395.960577
1965.775,211,396.138152
1984.2717,213,396.374747
1829.0643,193,396.612483
2038.4948,219,397.232579
1597.4493,173,398.401454
1640.8943,171,399.693502
1861.4313,196,400.089957
2128.6426,225,400.549311
1938.38,202,400.578831
1873.9614,199,400.792456
1866.2603,195,400.900981
2107.2625,221,401.708054
2000.6545,214,401.708054
1898.4269,199,401.784563
1962.6027,209,401.804563
1594.7847,170,402.761898
2054.6543,219,402.842409
1654.6737,172,403.748458
1874.0413,196,404.571541
1911.4247,199,405.03591
1801.2639,188,405.058913
1887.0494,202,405.28808
2118.9185,223,405.55365
1928.3274,203,406.167188
1998.8512,212,406.310522
1608.9048,171,406.354552
1988.6044,213,406.413679
2098.5605,221,406.491707
1645.3986,172,407.331085
2089.1028,224,407.407605
1868.9437,197,408.604306
1847.2417,193,408.9494
1893.4636,196,408.986935
1878.6317,200,409.265996
1612.463,172,409.611906
2149.579,227,409.96157
1928.2577,203,410.016094
1971.7736,210,410.25869
1989.9445,212,410.381904
2059.0125,215,410.514275
1656.3579,173,410.584829
2070.701,222,411.564108
1849.3282,194,412.176234
1881.317,197,412.568564
1885.41,197,412.607094
1624.4326,175,412.860902
1846.5876,197,412.924211
1668.569,177,413.911913
1979.0497,210,413.956909
2132.8855,228,414.247641
2058.8308,222,414.439728
2011.226,217,414.479287
2030.7067,212,414.516281
2108.2769,228,415.912345
1883.7449,200,416.022758
1610.8683,173,416.181478
1891.0734,199,416.449292
1891.0621,201,416.449292
1891.5931,204,416.877392
1658.7919,175,417.347807
1945.8772,208,418.036565
1997.4109,216,418.696987
2060.167,216,418.738983
2032.8696,220,418.738983
2157.2273,231,418.755984
1613.6371,175,419.592019
1908.1387,205,420.138402
1862.3098,197,420.496608
2093.8013,229,420.621146
1932.2667,205,420.684683
1850.2709,199,421.013936
1657.4517,177,421.064473
1933.876,208,422.561235
1943.5809,212,423.414579
1571.2755,172,423.573127
2056.9949,218,423.599652
2073.9204,226,423.769202
2154.0447,234,423.963572
1900.5077,206,424.833547
1665.2306,179,425.093303
1913.0712,205,425.135906
